Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,,Exchange
NNN^E,National Retail Properties,22.89,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nnn^e,,NYSE
NNN^F,National Retail Properties,20.7088,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nnn^f,,NYSE
SID,National Steel Company,2.24,$3.09B,n/a,Capital Goods,Steel/Iron Ore,https://www.nasdaq.com/symbol/sid,,NYSE
NSA,National Storage Affiliates Trust,29.25,$1.65B,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nsa,,NYSE
NSA^A,National Storage Affiliates Trust,22.28,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nsa^a,,NYSE
NGS,"Natural Gas Services Group, Inc.",17.9,$234.8M,2002,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ngs,,NYSE
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",17.96,$402.17M,2012,Consumer Services,Food Chains,https://www.nasdaq.com/symbol/ngvc,,NYSE
NRP,Natural Resource Partners LP,39.17,$479.67M,2002,Energy,Coal Mining,https://www.nasdaq.com/symbol/nrp,,NYSE
NTZ,"Natuzzi, S.p.A.",0.8988,$49.3M,1993,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/ntz,,NYSE
NLS,"Nautilus Group, Inc. (The)",11.27,$335.7M,n/a,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/nls,,NYSE
NCI,"Navigant Consulting, Inc.",23.22,$988.92M,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/nci,,NYSE
NVGS,Navigator Holdings Ltd.,11.36,$632.26M,2013,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/nvgs,,NYSE
NNA,Navios Maritime Acquisition Corporation,6.02,$57.87M,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/nna,,NYSE
NM,Navios Maritime Holdings Inc.,0.28,$34.92M,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/nm,,NYSE
NM^G,Navios Maritime Holdings Inc.,3.75,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nm^g,,NYSE
NM^H,Navios Maritime Holdings Inc.,3.4,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nm^h,,NYSE
